Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
874560;Länsförsäkringar Företagsobligation Norden;    108,40;  108,40;2019-05-14
563965;Länsförsäkringar Global Hållbar;     48,60;   48,60;2019-05-14
658997;Länsförsäkringar Global Indexnära;    228,63;  228,63;2019-05-14
212621;Länsförsäkringar Global Strategisk Ränta;     71,76;   71,76;2019-05-13
470104;Länsförsäkringar Japan Indexnära;    119,32;  119,32;2019-05-14
838730;Länsförsäkringar Kort Ränta Företag;    102,12;  102,12;2019-05-14
420646;Länsförsäkringar Kort Räntefond;    104,01;  104,01;2019-05-14
242081;Länsförsäkringar Lång Räntefond;    165,50;  165,50;2019-05-14
599795;Länsförsäkringar Mix;    384,51;  384,51;2019-05-14
515676;Länsförsäkringar Småbolag Sverige;    990,64;  990,64;2019-05-14
814772;Länsförsäkringar Sparmål 2015;    203,97;  203,97;2019-05-13
778944;Länsförsäkringar Sparmål 2020;    226,38;  226,38;2019-05-13
743112;Länsförsäkringar Sparmål 2025;    261,62;  261,62;2019-05-13
707281;Länsförsäkringar Sparmål 2030;    265,37;  265,37;2019-05-13
671453;Länsförsäkringar Sparmål 2035;    141,56;  141,56;2019-05-13
635623;Länsförsäkringar Sparmål 2040;    142,43;  142,43;2019-05-13
832360;Länsförsäkringar Sparmål 2045;    170,02;  170,02;2019-05-13
140905;Länsförsäkringar Sparmål 2050;    145,06;  145,06;2019-05-13
105072;Länsförsäkringar Sparmål 2055;    143,73;  143,73;2019-05-13
969246;Länsförsäkringar Sparmål 2060;    142,11;  142,11;2019-05-13
528133;Länsförsäkringar Sverige Aktiv;   1618,37; 1618,37;2019-05-14
587337;Länsförsäkringar Sverige Indexnära;    323,84;  323,84;2019-05-14
206250;Länsförsäkringar Tillväxtmarknad Aktiv;    372,50;  372,50;2019-05-14
434274;Länsförsäkringar Tillväxtmarknad Indexnära;    149,26;  149,26;2019-05-14
456475;Länsförsäkringar USA Aktiv;    403,01;  403,01;2019-05-14
551507;Länsförsäkringar USA Indexnära;    398,64;  398,64;2019-05-14
152835;Lärarfond 21-44 år;     26,42;   26,42;2019-05-14
117002;Lärarfond 45-58 år;     22,12;   22,12;2019-05-14
981175;Lärarfond 59+;     15,78;   15,78;2019-05-14
119776;Monyx Strategi Balanserad;    162,92;  162,92;2019-05-13
762880;Monyx Strategi Offensiv;    222,93;  222,93;2019-05-13
983940;Monyx Strategi Sverige/Världen;    171,67;  171,67;2019-05-13
912287;Monyx Strategi Världen;    185,28;  185,28;2019-05-13
615310;Naventi Balanserad Flex;    155,95;  155,95;2019-05-14
447086;Naventi Defensiv Flex;    128,44;  128,44;2019-05-14
727057;Naventi Offensiv Flex;    191,72;  191,72;2019-05-14
809699;NN (L) Alternative Beta ;   4138,71; 4137,95;2019-05-14
992099;NN (L) Asia Income;  10741,30;10739,07;2019-05-14
323832;NN (L) Emerging Markets Debt (Hard Currency);  54623,18;54613,05;2019-05-14
140434;NN (L) Emerging Markets Debt (Local Currency) ;    447,77;  447,69;2019-05-14
848770;NN (L) EURO Equity ;   1667,33; 1667,02;2019-05-14
288001;NN (L) Euromix Bond;   1875,03; 1874,69;2019-05-14
899773;NN (L) European Equity ;    691,08;  690,95;2019-05-14
857037;NN (L) First Class Protection;    332,54;  332,48;2019-05-14
523050;NN (L) Global Equity Impact Opportunities;   4916,87; 4915,95;2019-05-14
558882;NN (L) Global Real Estate;   4142,92; 4142,15;2019-05-14
594713;NN (L) Global Sustainable Equity;   3641,20; 3640,53;2019-05-14
666370;NN (L) Greater China Equity ;  11672,20;11669,77;2019-05-14
401695;NN (L) Information Technology;  16293,07;16289,68;2019-05-14
920439;NN (L) Japan Equity;    403,43;  403,34;2019-05-14
956268;NN (L) Latin America Equity ;  17211,00;17207,42;2019-05-14
494427;Nordea Far East Fund;    271,28;  271,28;2019-05-14
430975;Nordea Generationsfond 50-tal;    116,46;  116,46;2019-05-14
